Player,Year,KPercentage,TotalPitches,FourSeamPercentage,FourSeamAvgMPH,SliderPercentage,SliderAvgMPH,ChangePercentage,ChangeAvgMPH,CurvePercentage,CurveAvgMPH,SinkerPercentage,SinkerAvgMPH,CutterPercentage,CutterAvgMPH,SplitterPercentage,SplitterAvgMPH,KnucklePercentage,KnuckleAvgMPH,FastballPercentage,FastballAvgMPH,BreakingPercentage,BreakingAvgMPH,OffspeedPercentage,OffspeedAvgMPH
"Gibson, Kyle",2023,19.50,"3,038.00",13.40,92.10,,,17.00,85.50,8.40,79.50,26.10,91.90,16.60,89.80,,,,,56.10,91.30,26.90,80.90,17.00,85.50
"Darvish, Yu",2023,24.60,"2,217.00",16.60,94.70,17.50,85.70,0.10,82.30,11.70,76.30,18.70,94.30,9.10,90.90,7.70,89.20,,,44.40,93.70,47.80,82.10,7.80,89.10
"Gray, Josiah",2023,20.50,"2,812.00",17.00,93.50,24.60,85.90,1.60,88.60,16.20,82.20,17.20,93.10,17.80,88.80,,,,,52.00,91.80,46.40,84.10,1.60,88.60
"Corbin, Patrick",2023,15.70,"2,922.00",17.10,91.80,35.00,80.50,6.40,81.20,,,41.50,92.10,,,,,,,58.60,92.00,35.00,80.50,6.40,81.20
"Walker, Taijuan",2023,18.80,"2,837.00",17.40,92.90,,,,,5.70,74.80,23.40,92.40,17.50,87.20,33.20,87.90,,,58.30,91.00,8.50,77.30,33.20,87.90
"Freeland, Kyle",2023,13.90,"2,414.00",18.40,88.80,23.60,84.10,12.10,84.30,17.60,80.60,28.30,88.70,,,,,,,46.70,88.70,41.20,82.60,12.10,84.30
"Rea, Colin",2023,21.30,"2,016.00",19.20,93.20,,,,,7.70,78.70,29.90,92.60,26.50,86.70,5.60,86.00,,,75.60,90.70,18.80,81.30,5.60,86.00
"Hendricks, Kyle",2023,16.10,"2,107.00",20.30,87.80,,,41.10,80.70,3.50,73.30,35.10,87.50,,,,,,,55.40,87.60,3.50,73.30,41.10,80.70
"Berrios, Jose",2023,23.50,"2,937.00",20.40,94.30,,,18.50,84.10,,,31.50,93.80,,,,,,,51.90,94.00,29.60,82.60,18.50,84.10
"Bello, Brayan",2023,19.80,"2,618.00",20.60,95.50,17.70,85.30,23.90,86.20,,,36.30,95.00,1.50,89.20,,,,,58.40,95.00,17.70,85.30,23.90,86.20
"Alcantara, Sandy",2023,19.80,"2,721.00",21.30,98.00,20.10,89.90,27.30,91.10,2.20,86.10,29.00,97.60,,,,,,,50.30,97.80,22.30,89.50,27.30,91.10
"Suarez, Ranger",2023,22.00,"2,023.00",21.50,93.40,0.60,83.90,18.40,82.90,19.00,75.80,28.00,92.80,12.50,87.60,,,,,62.00,91.90,19.60,76.00,18.40,82.90
"Bradish, Kyle",2023,25.00,"2,638.00",22.40,94.50,31.20,88.10,8.40,90.80,17.30,84.80,20.60,95.00,,,,,,,43.10,94.70,48.60,86.90,8.40,90.80
"Sandoval, Patrick",2023,19.60,"2,620.00",25.50,93.00,26.00,87.00,25.80,83.00,9.00,76.50,11.20,93.20,,,,,,,36.70,93.10,37.60,84.10,25.80,83.00
"Mikolas, Miles",2023,15.90,"3,191.00",25.90,93.30,24.30,86.40,5.40,84.40,19.80,75.90,24.50,92.70,,,,,,,50.50,93.00,44.20,81.70,5.40,84.40
"Keller, Mitch",2023,25.50,"3,119.00",26.10,95.20,,,2.90,90.70,8.00,78.00,22.70,93.90,24.20,89.70,,,,,73.00,92.90,24.10,81.20,2.90,90.70
"Greinke, Zack",2023,16.40,"2,218.00",26.60,89.50,20.00,79.20,16.60,86.50,14.10,72.50,15.70,89.80,7.00,85.20,,,,,49.30,89.00,34.10,76.40,16.60,86.50
"Gray, Sonny",2023,24.30,"2,815.00",27.20,92.90,,,6.70,87.90,16.80,79.60,15.70,92.80,13.10,87.60,,,,,56.10,91.60,37.30,82.20,6.70,87.90
"Miller, Bobby",2023,23.60,"1,961.00",28.40,99.10,16.70,89.90,16.00,88.20,18.50,80.60,19.70,98.70,,,,,,,48.10,98.90,35.90,85.00,16.00,88.20
"Wacha, Michael",2023,22.40,"2,221.00",28.70,92.00,,,34.50,81.60,11.00,74.00,13.40,91.90,12.40,86.90,,,,,54.50,90.80,11.00,74.00,34.50,81.60
"Nola, Aaron",2023,25.50,"3,087.00",29.40,92.70,,,12.60,85.90,31.60,79.40,18.90,91.80,7.50,86.30,,,,,55.70,91.50,31.60,79.40,12.60,85.90
"Kelly, Merrill",2023,25.90,"2,802.00",30.00,92.20,5.50,85.40,23.10,88.70,11.00,82.10,12.20,92.40,18.10,90.80,,,,,60.30,91.80,16.50,83.20,23.10,88.70
"Lyles, Jordan",2023,16.00,"2,817.00",30.50,91.20,0.00,81.70,10.90,85.50,13.20,79.40,13.10,90.50,7.60,86.80,,,,,51.30,90.40,37.80,79.90,10.90,85.50
"Morton, Charlie",2023,25.60,"2,842.00",31.60,94.90,,,10.30,86.00,43.20,82.30,7.00,94.20,7.90,89.10,,,,,46.50,93.80,43.20,82.30,10.30,86.00
"Lugo, Seth",2023,23.20,"2,376.00",31.80,93.40,9.10,85.80,5.90,86.20,29.40,79.60,20.00,93.20,,,,,,,51.80,93.30,42.30,81.10,5.90,86.20
"Ohtani, Shohei",2023,31.50,"2,094.00",32.80,96.80,0.20,85.50,,,3.60,75.70,6.00,94.60,15.90,88.50,6.50,88.60,,,54.60,94.20,38.90,82.90,6.50,88.60
"Taillon, Jameson",2023,21.40,"2,533.00",33.90,93.70,0.40,82.20,3.10,86.50,15.10,80.50,10.60,94.00,22.20,88.60,,,,,66.60,92.00,30.30,80.70,3.10,86.50
"Hill, Rich",2023,19.50,"2,512.00",34.40,88.40,1.90,77.30,2.20,83.00,35.60,72.00,4.10,86.10,14.80,83.30,,,,,53.30,86.80,44.50,71.80,2.20,83.00
"Lopez, Pablo",2023,29.20,"3,024.00",34.50,94.90,,,21.10,88.40,12.50,82.50,10.60,94.50,,,,,,,45.10,94.80,33.80,83.70,21.10,88.40
"Lorenzen, Michael",2023,17.80,"2,366.00",34.70,94.30,23.30,85.20,21.60,84.50,1.20,82.30,12.00,93.70,0.80,90.80,,,,,47.50,94.10,30.90,84.60,21.60,84.50
"Canning, Griffin",2023,25.90,"2,084.00",35.00,94.70,29.90,88.40,21.20,90.20,13.40,81.80,0.40,95.10,,,,,,,35.50,94.70,43.30,86.40,21.20,90.20
"Bieber, Shane",2023,20.10,"1,954.00",35.20,91.30,20.60,84.60,3.50,87.20,13.80,82.50,,,26.90,86.50,,,,,62.10,89.20,34.40,83.80,3.50,87.20
"Irvin, Jake",2023,18.70,"2,147.00",35.60,94.50,,,4.90,87.70,30.60,80.90,28.90,93.90,,,,,,,64.60,94.20,30.60,80.90,4.90,87.70
"Kershaw, Clayton",2023,26.20,"2,025.00",36.90,90.70,43.40,86.50,1.70,84.60,17.50,73.40,0.20,90.90,,,0.20,84.40,,,37.10,90.70,60.90,82.70,2.00,84.60
"Kremer, Dean",2023,21.40,"2,925.00",37.10,94.60,,,12.20,85.30,8.90,78.10,14.60,91.90,23.90,88.80,,,,,75.60,92.20,12.20,79.40,12.20,85.30
"Eovaldi, Nathan",2023,22.90,"2,231.00",37.20,95.10,4.00,83.90,,,13.50,76.00,,,17.60,90.60,27.70,87.90,,,54.80,93.70,17.50,77.80,27.70,87.90
"Anderson, Tyler",2023,18.90,"2,431.00",37.30,90.10,0.50,78.30,33.80,80.00,0.20,73.20,5.60,88.50,22.40,85.10,,,,,65.30,88.30,0.90,76.80,33.80,80.00
"Crawford, Kutter",2023,25.60,"2,099.00",39.10,93.60,6.10,82.80,,,11.90,79.40,,,28.30,88.60,7.80,82.40,,,67.50,91.50,24.80,81.00,7.80,82.40
"Oviedo, Johan",2023,20.20,"2,980.00",39.20,95.80,36.70,88.20,4.10,88.10,14.90,80.90,5.00,95.70,,,,,,,44.20,95.80,51.60,86.10,4.10,88.10
"Kirby, George",2023,22.70,"2,825.00",39.40,96.10,19.80,86.20,1.80,86.60,11.40,81.80,21.60,95.80,,,6.10,84.80,0.00,73.20,60.90,96.00,31.20,84.60,7.90,85.20
"Flaherty, Jack",2023,22.80,"2,632.00",41.70,93.10,24.60,84.20,3.30,85.30,19.40,76.20,2.00,90.10,9.10,88.70,,,,,52.70,92.30,44.00,80.70,3.30,85.30
"Gilbert, Logan",2023,24.50,"2,922.00",41.90,95.70,29.70,88.70,,,13.40,80.30,0.30,92.50,,,14.80,85.60,,,42.20,95.70,43.10,86.10,14.80,85.60
"Giolito, Lucas",2023,25.70,"3,190.00",41.90,93.10,28.20,84.00,28.30,80.90,1.50,77.90,,,,,,,,,41.90,93.10,29.80,83.70,28.30,80.90
"Gray, Jon",2023,21.60,"2,393.00",42.40,95.70,33.50,87.90,11.60,88.80,6.20,78.20,,,,,,,,,42.40,95.70,46.00,86.00,11.60,88.80
"France, J.P.",2023,17.40,"2,202.00",43.10,93.00,,,15.20,81.80,13.70,76.00,,,18.90,86.80,,,,,62.00,91.20,22.80,77.70,15.20,81.80
"Detmers, Reid",2023,26.10,"2,599.00",43.20,94.30,30.90,88.90,5.40,84.90,19.40,74.70,,,,,,,,,43.20,94.30,51.40,83.40,5.40,84.90
"Cease, Dylan",2023,27.30,"3,262.00",43.20,95.60,38.60,86.30,3.00,74.60,15.20,80.20,,,,,,,,,43.20,95.60,53.80,84.60,3.00,74.60
"Williams, Trevor",2023,16.90,"2,622.00",43.20,89.70,15.50,81.70,17.00,83.30,6.90,76.70,14.60,88.20,,,,,,,57.80,89.30,25.10,79.80,17.00,83.30
"Wheeler, Zack",2023,26.90,"3,155.00",43.30,95.80,14.40,90.80,0.40,91.10,11.40,81.40,18.20,95.20,,,,,,,61.50,95.60,38.10,85.90,0.40,91.10
"Weaver, Luke",2023,19.40,"2,258.00",43.40,94.00,10.70,86.50,20.20,86.10,10.80,81.60,0.00,91.80,10.90,90.30,,,,,54.30,93.30,25.50,83.90,20.20,86.10
"Lynn, Lance",2023,23.60,"3,167.00",43.40,92.40,6.10,83.00,7.00,84.90,7.40,80.80,12.70,91.40,23.20,88.70,,,,,79.40,91.20,13.60,81.80,7.00,84.90
"Gomber, Austin",2023,14.40,"2,160.00",43.90,90.60,20.00,84.80,18.10,81.60,16.80,77.60,1.30,90.60,,,,,,,45.10,90.60,36.80,81.50,18.10,81.60
"Castillo, Luis",2023,27.30,"3,207.00",44.40,96.30,22.10,85.70,15.60,88.30,,,17.90,95.90,,,,,,,62.30,96.10,22.10,85.70,15.60,88.30
"Kikuchi, Yusei",2023,25.90,"2,817.00",45.00,95.10,25.90,88.70,9.70,88.70,19.30,83.10,,,,,,,,,45.00,95.10,45.20,86.30,9.70,88.70
"Allen, Logan",2023,22.20,"2,134.00",45.10,91.40,3.00,83.50,21.20,82.70,,,,,8.70,86.40,,,,,53.80,90.60,25.00,79.30,21.20,82.70
